                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3126,                 6.0548,                 1.2334,                0.00478,                0.07734,                0.00257,                0.00106,                 2.4411,                 16.281,                  1.375,                0.08713,                0.00013,                0.00013
                      1,                 1.8891,                  1.905,                 1.0591,                0.08465,                0.20324,                0.03466,                0.01109,                 2.5231,                 9.3368,                 1.3215,               0.073267,             0.00026666,             0.00026666
                      2,                 1.8484,                 1.6103,                 1.0672,                0.23837,                0.41367,                0.15857,                0.04794,                 2.5227,                  3.605,                 1.4105,                 0.0594,             0.00039985,             0.00039985
                      3,                 1.8514,                 1.5666,                 1.0605,                0.05287,                0.60072,                0.04393,                0.01746,                 2.2478,                    inf,                 1.3137,                0.04553,             0.00052958,             0.00052958
                      4,                 1.8686,                 1.7826,                 1.0329,                0.03922,                0.63489,                 0.0343,                0.01395,                 2.2548,                    inf,                 1.2942,               0.031656,             0.00065585,             0.00065585
                      5,                 1.9364,                 1.7943,                 1.0538,                   0.17,                0.39209,                0.12866,                 0.0452,                 2.2957,                  8.238,                  1.329,               0.017779,             0.00077864,             0.00077864
                      6,                 1.8826,                 1.5603,                 1.1146,                0.13678,                0.50899,                0.10858,                0.03688,                 2.2875,                 12.979,                 1.3336,               0.003898,             0.00089798,             0.00089798
                      7,                 1.8166,                 1.4528,                 1.0422,                0.23443,                0.58453,                 0.1867,                0.06582,                 2.1395,                  10.34,                 1.2833,             0.00091337,             0.00091337,             0.00091337
                      8,                 1.8563,                 1.3926,                 1.0642,                0.40263,                0.48561,                0.34267,                0.11447,                 2.2388,                 2.8529,                 1.3051,             0.00091337,             0.00091337,             0.00091337
                      9,                 1.8463,                 1.2637,                 1.0634,                0.47802,                0.55036,                0.44936,                0.15907,                 2.2247,                 1.8384,                 1.3111,               0.000901,               0.000901,               0.000901
                     10,                 1.8633,                 1.3117,                 1.0697,                0.43182,                0.52338,                0.43154,                 0.1484,                 2.2861,                 1.6215,                 1.3341,             0.00088862,             0.00088862,             0.00088862
